,Unnamed: 0,PCA,Cell_cls_knn,Cell_cls_res,ME_knn,EMD_neighbors,leiden_ari,sotip_ari,sample
11,11,100,15,1,30,200,0.2764986224538527,0.3797135624578651,151508
12,12,100,15,1,30,300,0.2764986224538527,0.3560744317220827,151508
13,13,100,15,1,30,400,0.2764986224538527,0.3216118598850837,151508
14,14,100,15,1,30,500,0.2764986224538527,0.3173374463776818,151508
15,15,100,15,1,30,600,0.2764986224538527,0.3164716444357081,151508
16,16,100,15,1,30,700,0.2764986224538527,0.33345657402907,151508
17,17,100,15,1,30,800,0.2764986224538527,0.2922958517731451,151508
18,18,100,15,1,30,900,0.2764986224538527,0.2542530813544149,151508
19,19,100,15,1,30,1000,0.2764986224538527,0.3336155647443097,151508
20,20,100,15,1,50,100,0.3165348865877157,0.3380897558681923,151508
21,21,100,15,1,50,200,0.3165348865877157,0.3764850761700046,151508
22,22,100,15,1,50,300,0.3165348865877157,0.4968470642956054,151508
23,23,100,15,1,50,400,0.3165348865877157,0.3720853632417465,151508
24,24,100,15,1,50,500,0.3165348865877157,0.3511204680888124,151508
25,25,100,15,1,50,600,0.3165348865877157,0.3573706198169129,151508
26,26,100,15,1,50,700,0.3165348865877157,0.3628618627174046,151508
27,27,100,15,1,50,800,0.3165348865877157,0.4065570778330576,151508
28,28,100,15,1,50,900,0.3165348865877157,0.2032666942904855,151508
29,29,100,15,1,50,1000,0.3165348865877157,0.2335308432714791,151508
30,30,100,15,2,10,100,0.2381994962642152,0.3726241398411785,151508
31,31,100,15,2,10,200,0.2381994962642152,0.4172146075337594,151508
32,32,100,15,2,10,300,0.2381994962642152,0.3944855960684709,151508
33,33,100,15,2,10,400,0.2381994962642152,0.379990587847591,151508
34,34,100,15,2,10,500,0.2381994962642152,0.3898286246622636,151508
35,35,100,15,2,10,600,0.2381994962642152,0.4138620762268301,151508
36,36,100,15,2,10,700,0.2381994962642152,0.3817881234779442,151508
37,37,100,15,2,10,800,0.2381994962642152,0.4165268217501528,151508
38,38,100,15,2,10,900,0.2381994962642152,0.3035718264177911,151508
39,39,100,15,2,10,1000,0.2381994962642152,0.3029892992422044,151508
40,40,100,15,2,30,100,0.2351091213819504,0.3931558990381336,151508
41,41,100,15,2,30,200,0.2351091213819504,0.346974027625175,151508
42,42,100,15,2,30,300,0.2351091213819504,0.3271710418544158,151508
43,43,100,15,2,30,400,0.2351091213819504,0.3565261977529571,151508
44,44,100,15,2,30,500,0.2351091213819504,0.4409343803112197,151508
45,45,100,15,2,30,600,0.2351091213819504,0.312575869761332,151508
46,46,100,15,2,30,700,0.2351091213819504,0.3459177115600076,151508
